,clone_pair_id,facer_prediction,nil_prediction,code_bert_prediction
0,clone0.java,1,0,0
1,clone1.java,0,0,1
10,clone10.java,0,0,1
100,clone100.java,1,0,1
101,clone101.java,1,0,1
102,clone102.java,0,0,1
103,clone103.java,0,0,1
104,clone104.java,1,0,1
105,clone105.java,1,0,1
106,clone106.java,0,0,1
107,clone107.java,1,0,1
108,clone108.java,1,0,1
109,clone109.java,1,0,1
11,clone11.java,0,0,1
110,clone110.java,0,0,1
111,clone111.java,0,0,0
112,clone112.java,0,0,1
113,clone113.java,0,0,1
114,clone114.java,0,0,1
115,clone115.java,0,0,0
116,clone116.java,0,0,1
117,clone117.java,1,0,1
118,clone118.java,1,0,1
119,clone119.java,1,0,1
12,clone12.java,1,0,0
120,clone120.java,1,0,1
121,clone121.java,1,0,1
122,clone122.java,1,0,1
123,clone123.java,1,0,1
124,clone124.java,0,1,1
125,clone125.java,0,0,1
126,clone126.java,0,0,1
127,clone127.java,0,0,0
128,clone128.java,0,0,1
129,clone129.java,0,0,1
13,clone13.java,1,0,1
130,clone130.java,1,0,1
131,clone131.java,1,0,1
132,clone132.java,1,0,1
133,clone133.java,1,0,0
134,clone134.java,1,0,1
135,clone135.java,0,1,1
136,clone136.java,1,0,1
137,clone137.java,0,0,1
138,clone138.java,1,0,1
139,clone139.java,1,0,1
14,clone14.java,1,0,1
140,clone140.java,1,0,1
141,clone141.java,0,0,1
142,clone142.java,1,1,1
143,clone143.java,1,0,1
144,clone144.java,1,1,1
145,clone145.java,0,0,1
146,clone146.java,0,0,1
147,clone147.java,0,0,1
148,clone148.java,1,1,1
149,clone149.java,1,0,1
15,clone15.java,1,0,1
150,clone150.java,1,1,1
151,clone151.java,1,0,1
152,clone152.java,1,0,1
153,clone153.java,1,0,1
154,clone154.java,1,0,1
155,clone155.java,1,0,1
156,clone156.java,1,0,1
157,clone157.java,1,0,1
158,clone158.java,1,0,1
159,clone159.java,1,1,1
16,clone16.java,1,1,0
160,clone160.java,1,0,0
161,clone161.java,0,0,0
162,clone162.java,1,0,1
163,clone163.java,0,0,1
164,clone164.java,1,1,1
165,clone165.java,1,1,1
166,clone166.java,0,1,1
167,clone167.java,1,0,1
168,clone168.java,1,0,1
